frame,timestamp,u,v,x,y
11,0.4451333333333334,831,230,-0.901811420917511,-2.9091131687164307
12,0.48560000000000003,798,247,-1.134789228439331,-2.7489891052246094
13,0.5260666666666667,765,263,-1.3677608966827393,-2.5983211994171143
14,0.5665333333333333,735,280,-1.5795459747314453,-2.438257932662964
15,0.607,706,293,-1.7842820882797241,-2.315884590148926
16,0.6474666666666667,680,309,-1.9678324460983276,-2.1652684211730957
17,0.6879333333333334,655,324,-2.144331932067871,-2.024080276489258
18,0.7284,632,338,-2.306720733642578,-1.8923132419586182
19,0.7688666666666667,608,352,-2.4761860370635986,-1.760556697845459
20,0.8093333333333333,591,368,-2.5962135791778564,-1.6099575757980347
21,0.8498,575,379,-2.709204912185669,-1.5064349174499512
22,0.8902666666666668,559,392,-2.8222012519836426,-1.384084701538086
23,0.9307333333333334,545,408,-2.9210689067840576,-1.2334874868392944
24,0.9712000000000001,536,419,-2.9846317768096924,-1.1299515962600708
25,1.0116666666666667,524,432,-3.069397211074829,-1.0075942277908325
26,1.0521333333333334,515,445,-3.1329712867736816,-0.8852301239967346
27,1.0926,508,458,-3.18241810798645,-0.762861967086792
28,1.1330666666666667,505,470,-3.2036004066467285,-0.649901807308197
29,1.1735333333333333,500,482,-3.2389252185821533,-0.5369443297386169
30,1.214,499,498,-3.2459778785705566,-0.38632932305336
31,1.2544666666666668,500,510,-3.238903522491455,-0.2733686566352844
32,1.2949333333333335,500,522,-3.2389028072357178,-0.160409078001976
33,1.3354000000000001,506,536,-3.196499824523926,-0.028625667095184326
34,1.3758666666666668,508,548,-3.1823742389678955,0.0843314453959465
35,1.4163333333333334,516,557,-3.1258466243743896,0.16904300451278687
36,1.4568,526,572,-3.055203914642334,0.31022870540618896
37,1.4972666666666667,532,580,-3.012822151184082,0.3855258524417877
38,1.5377333333333334,545,592,-2.920997381210327,0.49846455454826355
39,1.5782,558,607,-2.8291916847229004,0.6396414637565613
40,1.6186666666666667,668,680,-2.052544593811035,1.3266562223434448
41,1.6591333333333333,691,694,-1.890183448791504,1.4584258794784546
42,1.6996,715,707,-1.7207636833190918,1.5807877779006958
43,1.7400666666666669,741,716,-1.5372213125228882,1.6654975414276123
44,1.7805333333333335,767,730,-1.3536832332611084,1.7972891330718994
45,1.8210000000000002,797,741,-1.1419011354446411,1.9008439779281616
46,1.8614666666666668,828,754,-0.9230542182922363,2.0232410430908203
47,1.9019333333333335,859,767,-0.7041983008384705,2.1456527709960938
48,1.9424000000000001,890,779,-0.4853315055370331,2.258664131164551
49,1.9828666666666668,926,791,-0.2311485856771469,2.371697425842285
